MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	Flag_Number	Pool_region	Depth_Substrate_Sampling	Corresponding_DOM_Site	Spot_in_Site_for_Coring	ATTRIBUTE_Location 	ATTRIBUTE_linked_DOM_sample_number	DOM_Filter_LOT_number
MSV000083729	Stromatolite_Tissue_1_pos.mzXML	environmental	marine_cyanobacteria_insitu	not specified	2019	solid material, dried	methanol (100%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	S1-Core-1A-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2018-11-09	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S1-Core-1A-Fri-low	not applicable	not applicable	not applicable	1	Inflow	Core-top	1	1	Schoenmakerskop	S1-DOM-1-Fri-low	6409030-04
MSV000083729	Stromatolite_Tissue_2_pos.mzXML	environmental	marine_cyanobacteria_insitu	not specified	2019	solid material, dried	methanol (100%)	none	Q Exactive|MS:1001912	electrospray ionization (positive)	reverse phase (C18)	S1-Core-1B-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2018-11-09	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S1-Core-1B-Fri-low	not applicable	not applicable	not applicable	1	Inflow	Core-middle	1	1	Schoenmakerskop	S1-DOM-1-Fri-low	6409030-04
MSV000083729	Stromatolite_Tissue_3_pos.mzXML	environmental	marine_cyanobacteria_insitu	not specified	2019	solid material, dried	methanol (100%)	none	Q Exactive|MS:1001913	electrospray ionization (positive)	reverse phase (C18)	S1-Core-1C-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2018-11-09	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S1-Core-1C-Fri-low	not applicable	not applicable	not applicable	1	Inflow	Core-bottom	1	1	Schoenmakerskop	S1-DOM-1-Fri-low	6409030-04
MSV000083729	Stromatolite_Tissue_4_pos.mzXML	environmental	marine_cyanobacteria_insitu	not specified	2019	solid material, dried	methanol (100%)	none	Q Exactive|MS:1001914	electrospray ionization (positive)	reverse phase (C18)	S1-Core-2A-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2018-11-09	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S1-Core-2A-Fri-low	not applicable	not applicable	not applicable	1	Inflow	Core-top	1	2	Schoenmakerskop	S1-DOM-1-Fri-low	6409030-04
MSV000083729	Stromatolite_Tissue_5_pos.mzXML	environmental	marine_cyanobacteria_insitu	not specified	2019	solid material, dried	methanol (100%)	none	Q Exactive|MS:1001915	electrospray ionization (positive)	reverse phase (C18)	S1-Core-2B-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2018-11-09	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S1-Core-2B-Fri-low	not applicable	not applicable	not applicable	1	Inflow	Core-middle	1	2	Schoenmakerskop	S1-DOM-1-Fri-low	6409030-04
MSV000083729	Stromatolite_Tissue_6_pos.mzXML	environmental	marine_cyanobacteria_insitu	not specified	2019	solid material, dried	methanol (100%)	none	Q Exactive|MS:1001916	electrospray ionization (positive)	reverse phase (C18)	S1-Core-2C-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2018-11-09	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S1-Core-2C-Fri-low	not applicable	not applicable	not applicable	1	Inflow	Core-bottom	1	2	Schoenmakerskop	S1-DOM-1-Fri-low	6409030-04
MSV000083729	Stromatolite_Tissue_7_pos.mzXML	environmental	marine_cyanobacteria_insitu	not specified	2019	solid material, dried	methanol (100%)	none	Q Exactive|MS:1001917	electrospray ionization (positive)	reverse phase (C18)	S1-Core-1A-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2018-11-10	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S1-Core-1A-Sat-low	not applicable	not applicable	not applicable	1	Inflow	Core-top	1	3	Schoenmakerskop	S1-DOM-1-Sat-low	6409030-04
MSV000083729	Stromatolite_Tissue_8_pos.mzXML	environmental	marine_cyanobacteria_insitu	not specified	2019	solid material, dried	methanol (100%)	none	Q Exactive|MS:1001918	electrospray ionization (positive)	reverse phase (C18)	S1-Core-1B-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2018-11-10	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S1-Core-1B-Sat-low	not applicable	not applicable	not applicable	1	Inflow	Core-middle	1	3	Schoenmakerskop	S1-DOM-1-Sat-low	6409030-04
MSV000083729	Stromatolite_Tissue_9_pos.mzXML	environmental	marine_cyanobacteria_insitu	not specified	2019	solid material, dried	methanol (100%)	none	Q Exactive|MS:1001919	electrospray ionization (positive)	reverse phase (C18)	S1-Core-1C-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2018-11-10	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S1-Core-1C-Sat-low	not applicable	not applicable	not applicable	1	Inflow	Core-bottom	1	3	Schoenmakerskop	S1-DOM-1-Sat-low	6409030-04
MSV000083729	Stromatolite_Tissue_10_pos.mzXML	environmental	marine_cyanobacteria_insitu	not specified	2019	solid material, dried	methanol (100%)	none	Q Exactive|MS:1001920	electrospray ionization (positive)	reverse phase (C18)	S1-Core-2A-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2018-11-10	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S1-Core-2A-Sat-low	not applicable	not applicable	not applicable	1	Inflow	Core-top	1	4	Schoenmakerskop	S1-DOM-1-Sat-low	6409030-04
